LOT,VISUAL_ID,DR_RESULT,DR_SUB_ITEM,BOX_CTR_X,BOX_CTR_Y,BOX_SIDE_X,BOX_SIDE_Y,IMAGE_FULL_PATH,M_POSITION_X,M_POSITION_Y
X609M255,U6RT060110216,REJECT,PP-MI90-T-MG-DR-00,297,293,83,74,\\SSFILE1.SS.INTEL.COM\DFM_IMAGE\WW10_2026\1007\DVI911\X609M255\X609M255_20260306_133001_TOP2D_T17_S9_P0_FRAME2_PP-MI90-T-MG-DR-00.JPG,-12041.92,24591.81
X609M255,U6RT060110216,REJECT,PP-MI98-B-MG-DR-00,2691,319,49,50,\\SSFILE1.SS.INTEL.COM\DFM_IMAGE\WW10_2026\1007\DVI911\X609M255\X609M255_20260306_133001_BOTTOM2D_T18_S10_P0_FRAME1_PP-MI98-B-MG-DR-00.JPG,11825.03,24328.05
